dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
g,omp,1,dynamic,NA,NA,2,3,333373.975493,106.283,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,3,3,333373.975493,99.408,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,4,3,333373.975493,123.116,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,5,3,333373.975493,100.619,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,0,NA,NA,NA,100.619,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,1,3,333373.975493,190.153,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,2,3,333373.975493,183.075,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,3,3,333373.975493,167.007,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,4,3,333373.975493,163.342,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,5,3,333373.975493,164.359,NA,NA,NA,NA,NA
g,omp,2,dynamic,NA,NA,0,NA,NA,NA,167.007,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,1,3,333373.975493,132.475,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,2,3,333373.975493,145.651,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,3,3,333373.975493,139.812,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,4,3,333373.975493,142.616,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,5,3,333373.975493,141.462,NA,NA,NA,NA,NA
g,omp,4,dynamic,NA,NA,0,NA,NA,NA,141.462,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,1,3,333373.975493,133.757,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,2,3,333373.975493,133.935,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,3,3,333373.975493,132.085,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,4,3,333373.975493,136.344,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,5,3,333373.975493,129.137,NA,NA,NA,NA,NA
g,omp,8,dynamic,NA,NA,0,NA,NA,NA,133.757,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,1,3,333373.975493,115.266,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,2,3,333373.975493,163.614,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,3,3,333373.975493,140.396,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,4,3,333373.975493,129.843,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,5,3,333373.975493,152.023,NA,NA,NA,NA,NA
g,omp,16,dynamic,NA,NA,0,NA,NA,NA,140.396,NA,NA,NA,NA
p,omp,1,static,1,NA,1,3,3307.377030,0.139,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,2,3,3307.377030,0.122,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,3,3,3307.377030,0.160,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,4,3,3307.377030,0.286,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,5,3,3307.377030,0.143,NA,NA,NA,NA,NA
p,omp,1,static,1,NA,0,NA,NA,NA,0.143,NA,NA,NA,NA
p,omp,2,static,1,NA,1,3,3307.377030,1.018,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,2,3,3307.377030,0.678,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,3,3,3307.377030,0.874,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,4,3,3307.377030,1.050,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,5,3,3307.377030,0.862,NA,NA,NA,NA,NA
p,omp,2,static,1,NA,0,NA,NA,NA,0.874,NA,NA,NA,NA
p,omp,4,static,1,NA,1,3,3307.377030,0.894,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,2,3,3307.377030,0.934,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,3,3,3307.377030,0.737,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,4,3,3307.377030,1.165,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,5,3,3307.377030,0.939,NA,NA,NA,NA,NA
p,omp,4,static,1,NA,0,NA,NA,NA,0.934,NA,NA,NA,NA
p,omp,8,static,1,NA,1,3,3307.377030,1.164,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,2,3,3307.377030,1.101,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,3,3,3307.377030,1.207,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,4,3,3307.377030,1.093,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,5,3,3307.377030,1.514,NA,NA,NA,NA,NA
p,omp,8,static,1,NA,0,NA,NA,NA,1.164,NA,NA,NA,NA
p,omp,16,static,1,NA,1,3,3307.377030,46.509,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,2,3,3307.377030,39.817,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,3,3,3307.377030,39.731,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,4,3,3307.377030,51.066,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,5,3,3307.377030,47.540,NA,NA,NA,NA,NA
p,omp,16,static,1,NA,0,NA,NA,NA,46.509,NA,NA,NA,NA
p,omp,1,static,64,NA,1,3,3307.377030,0.310,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,2,3,3307.377030,0.350,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,3,3,3307.377030,0.133,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,4,3,3307.377030,0.138,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,5,3,3307.377030,0.126,NA,NA,NA,NA,NA
p,omp,1,static,64,NA,0,NA,NA,NA,0.138,NA,NA,NA,NA
p,omp,2,static,64,NA,1,3,3307.377030,0.410,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,2,3,3307.377030,1.121,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,3,3,3307.377030,0.882,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,4,3,3307.377030,1.222,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,5,3,3307.377030,0.875,NA,NA,NA,NA,NA
p,omp,2,static,64,NA,0,NA,NA,NA,0.882,NA,NA,NA,NA
p,omp,4,static,64,NA,1,3,3307.377030,1.040,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,2,3,3307.377030,0.684,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,3,3,3307.377030,0.731,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,4,3,3307.377030,0.689,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,5,3,3307.377030,0.639,NA,NA,NA,NA,NA
p,omp,4,static,64,NA,0,NA,NA,NA,0.689,NA,NA,NA,NA
p,omp,8,static,64,NA,1,3,3307.377030,0.830,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,2,3,3307.377030,0.955,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,3,3,3307.377030,1.198,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,4,3,3307.377030,1.620,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,5,3,3307.377030,0.820,NA,NA,NA,NA,NA
p,omp,8,static,64,NA,0,NA,NA,NA,0.955,NA,NA,NA,NA
p,omp,16,static,64,NA,1,3,3307.377030,50.560,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,2,3,3307.377030,41.192,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,3,3,3307.377030,41.127,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,4,3,3307.377030,46.164,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,5,3,3307.377030,46.334,NA,NA,NA,NA,NA
p,omp,16,static,64,NA,0,NA,NA,NA,46.164,NA,NA,NA,NA
p,omp,1,static,256,NA,1,3,3307.377030,0.115,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,2,3,3307.377030,0.123,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,3,3,3307.377030,0.126,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,4,3,3307.377030,0.272,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,5,3,3307.377030,0.204,NA,NA,NA,NA,NA
p,omp,1,static,256,NA,0,NA,NA,NA,0.126,NA,NA,NA,NA
p,omp,2,static,256,NA,1,3,3307.377030,0.802,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,2,3,3307.377030,0.568,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,3,3,3307.377030,0.866,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,4,3,3307.377030,0.877,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,5,3,3307.377030,0.904,NA,NA,NA,NA,NA
p,omp,2,static,256,NA,0,NA,NA,NA,0.866,NA,NA,NA,NA
p,omp,4,static,256,NA,1,3,3307.377030,0.646,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,2,3,3307.377030,0.610,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,3,3,3307.377030,0.975,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,4,3,3307.377030,0.884,NA,NA,NA,NA,NA
